Game_ID,Date,Home,Away,Home_Runs,Away_Runs,Game_Number
SD-MIL-20240416-1,2024-04-16,SD,MIL,3,6,1
PIT-NYM-20240416-1,2024-04-16,PIT,NYM,3,1,1
STL-OAK-20240416-1,2024-04-16,STL,OAK,2,3,1
COL-PHI-20240416-1,2024-04-16,COL,PHI,5,0,1
CIN-SEA-20240416-1,2024-04-16,CIN,SEA,3,1,1
LAA-TB-20240416-1,2024-04-16,LAA,TB,7,6,1
NYY-TOR-20240416-1,2024-04-16,NYY,TOR,5,4,1
CHC-ARI-20240417-1,2024-04-17,CHC,ARI,3,5,1
MIN-BAL-20240417-1,2024-04-17,MIN,BAL,4,2,1
CLE-BOS-20240417-1,2024-04-17,CLE,BOS,2,0,1
KC-CHW-20240417-1,2024-04-17,KC,CHW,2,4,1
KC-CHW-20240417-2,2024-04-17,KC,CHW,2,1,2
TEX-DET-20240417-1,2024-04-17,TEX,DET,4,5,1
ATL-HOU-20240417-1,2024-04-17,ATL,HOU,4,5,1
WAS-LAD-20240417-1,2024-04-17,WAS,LAD,0,2,1
SF-MIA-20240417-1,2024-04-17,SF,MIA,1,3,1
SD-MIL-20240417-1,2024-04-17,SD,MIL,1,0,1
PIT-NYM-20240417-1,2024-04-17,PIT,NYM,9,1,1
STL-OAK-20240417-1,2024-04-17,STL,OAK,6,3,1
COL-PHI-20240417-1,2024-04-17,COL,PHI,7,6,1
CIN-SEA-20240417-1,2024-04-17,CIN,SEA,5,1,1
LAA-TB-20240417-1,2024-04-17,LAA,TB,4,5,1
NYY-TOR-20240417-1,2024-04-17,NYY,TOR,4,6,1
CLE-BOS-20240418-1,2024-04-18,CLE,BOS,4,5,1
TEX-DET-20240418-1,2024-04-18,TEX,DET,7,9,1
ARI-SF-20240418-1,2024-04-18,ARI,SF,5,0,1
LAA-TB-20240418-1,2024-04-18,LAA,TB,2,1,1
TEX-ATL-20240419-1,2024-04-19,TEX,ATL,8,3,1
MIA-CHC-20240419-1,2024-04-19,MIA,CHC,8,3,1
LAA-CIN-20240419-1,2024-04-19,LAA,CIN,7,1,1
OAK-CLE-20240419-1,2024-04-19,OAK,CLE,10,2,1
BAL-KC-20240419-1,2024-04-19,BAL,KC,9,4,1
NYM-LAD-20240419-1,2024-04-19,NYM,LAD,4,9,1
DET-MIN-20240419-1,2024-04-19,DET,MIN,4,5,1
TB-NYY-20240419-1,2024-04-19,TB,NYY,5,3,1
CHW-PHI-20240419-1,2024-04-19,CHW,PHI,7,0,1
BOS-PIT-20240419-1,2024-04-19,BOS,PIT,1,8,1
TOR-SD-20240419-1,2024-04-19,TOR,SD,1,5,1
ARI-SF-20240419-1,2024-04-19,ARI,SF,1,17,1
MIL-STL-20240419-1,2024-04-19,MIL,STL,1,2,1
HOU-WAS-20240419-1,2024-04-19,HOU,WAS,3,5,1
TEX-ATL-20240420-1,2024-04-20,TEX,ATL,5,2,1
MIA-CHC-20240420-1,2024-04-20,MIA,CHC,2,3,1
MIA-CHC-20240420-2,2024-04-20,MIA,CHC,5,3,2
LAA-CIN-20240420-1,2024-04-20,LAA,CIN,7,5,1
OAK-CLE-20240420-1,2024-04-20,OAK,CLE,6,3,1
SEA-COL-20240420-1,2024-04-20,SEA,COL,0,7,1
BAL-KC-20240420-1,2024-04-20,BAL,KC,7,9,1
NYM-LAD-20240420-1,2024-04-20,NYM,LAD,4,6,1
DET-MIN-20240420-1,2024-04-20,DET,MIN,4,3,1
TB-NYY-20240420-1,2024-04-20,TB,NYY,0,2,1
CHW-PHI-20240420-1,2024-04-20,CHW,PHI,9,5,1
BOS-PIT-20240420-1,2024-04-20,BOS,PIT,2,4,1
TOR-SD-20240420-1,2024-04-20,TOR,SD,2,5,1
ARI-SF-20240420-1,2024-04-20,ARI,SF,7,3,1
MIL-STL-20240420-1,2024-04-20,MIL,STL,5,12,1
HOU-WAS-20240420-1,2024-04-20,HOU,WAS,5,4,1
TEX-ATL-20240421-1,2024-04-21,TEX,ATL,4,6,1
MIA-CHC-20240421-1,2024-04-21,MIA,CHC,3,6,1
LAA-CIN-20240421-1,2024-04-21,LAA,CIN,3,0,1
OAK-CLE-20240421-1,2024-04-21,OAK,CLE,6,2,1
SEA-COL-20240421-1,2024-04-21,SEA,COL,2,1,1
SEA-COL-20240421-2,2024-04-21,SEA,COL,2,10,2
BAL-KC-20240421-1,2024-04-21,BAL,KC,0,5,1
NYM-LAD-20240421-1,2024-04-21,NYM,LAD,10,0,1
DET-MIN-20240421-1,2024-04-21,DET,MIN,1,6,1
TB-NYY-20240421-1,2024-04-21,TB,NYY,5,4,1
CHW-PHI-20240421-1,2024-04-21,CHW,PHI,8,2,1
BOS-PIT-20240421-1,2024-04-21,BOS,PIT,1,6,1
TOR-SD-20240421-1,2024-04-21,TOR,SD,6,3,1
ARI-SF-20240421-1,2024-04-21,ARI,SF,3,5,1
MIL-STL-20240421-1,2024-04-21,MIL,STL,0,2,1
HOU-WAS-20240421-1,2024-04-21,HOU,WAS,6,0,1
BAL-LAA-20240422-1,2024-04-22,BAL,LAA,2,4,1
MIA-ATL-20240422-1,2024-04-22,MIA,ATL,3,0,1
PHI-CIN-20240422-1,2024-04-22,PHI,CIN,0,7,1
SD-COL-20240422-1,2024-04-22,SD,COL,1,3,1
TOR-KC-20240422-1,2024-04-22,TOR,KC,3,5,1
CHW-MIN-20240422-1,2024-04-22,CHW,MIN,7,0,1
OAK-NYY-20240422-1,2024-04-22,OAK,NYY,0,2,1
MIL-PIT-20240422-1,2024-04-22,MIL,PIT,4,2,1
NYM-SF-20240422-1,2024-04-22,NYM,SF,5,2,1
ARI-STL-20240422-1,2024-04-22,ARI,STL,5,3,1
DET-TB-20240422-1,2024-04-22,DET,TB,1,7,1
BAL-LAA-20240423-1,2024-04-23,BAL,LAA,7,4,1
MIA-ATL-20240423-1,2024-04-23,MIA,ATL,5,0,1
HOU-CHC-20240423-1,2024-04-23,HOU,CHC,7,2,1
PHI-CIN-20240423-1,2024-04-23,PHI,CIN,8,1,1
BOS-CLE-20240423-1,2024-04-23,BOS,CLE,4,1,1
SD-COL-20240423-1,2024-04-23,SD,COL,7,4,1
TOR-KC-20240423-1,2024-04-23,TOR,KC,3,2,1
CHW-MIN-20240423-1,2024-04-23,CHW,MIN,6,5,1
OAK-NYY-20240423-1,2024-04-23,OAK,NYY,4,3,1
MIL-PIT-20240423-1,2024-04-23,MIL,PIT,2,1,1
NYM-SF-20240423-1,2024-04-23,NYM,SF,5,1,1
ARI-STL-20240423-1,2024-04-23,ARI,STL,1,14,1
DET-TB-20240423-1,2024-04-23,DET,TB,2,4,1
SEA-TEX-20240423-1,2024-04-23,SEA,TEX,0,4,1
LAD-WAS-20240423-1,2024-04-23,LAD,WAS,1,4,1
BAL-LAA-20240424-1,2024-04-24,BAL,LAA,5,6,1
MIA-ATL-20240424-1,2024-04-24,MIA,ATL,4,3,1
HOU-CHC-20240424-1,2024-04-24,HOU,CHC,4,3,1
PHI-CIN-20240424-1,2024-04-24,PHI,CIN,7,4,1
BOS-CLE-20240424-1,2024-04-24,BOS,CLE,0,8,1
SD-COL-20240424-1,2024-04-24,SD,COL,2,5,1
TOR-KC-20240424-1,2024-04-24,TOR,KC,3,2,1
CHW-MIN-20240424-1,2024-04-24,CHW,MIN,6,3,1
OAK-NYY-20240424-1,2024-04-24,OAK,NYY,7,3,1
MIL-PIT-20240424-1,2024-04-24,MIL,PIT,2,3,1
NYM-SF-20240424-1,2024-04-24,NYM,SF,2,8,1
