,Game_ID,Date,Home,Away,Game_Number,Home_ML,Away_ML,Home_Win_Prob,Away_Win_Prob,Home_EV,Away_EV,Home_Runs,Away_Runs,Bet_Home,Bet_Away,Win_Bet,Return,Result,Home_Kelly,Away_Kelly,Bet_Kelly,Return_Kelly,Result_Kelly,Bet_Kelly_Units,Result_Kelly_Units
72,PIT-PHI-20240412-1,2024-04-12,PHI,PIT,1,1.65359477124183,2.4,0.5649197417298997,0.4350802582701003,-0.0658516689041529,0.0441926198482407,2,5,0.0,1.0,1,2.4,1.4,-0.10075305342335386,0.031566157034457594,0.031566157034457594,0.07575877688269822,0.044192619848240626,0.6313231406891519,0.8838523969648124
299,ATL-MIA-20240412-1,2024-04-12,MIA,ATL,1,2.75,1.5025125628140703,0.4047453716559278,0.5952546283440722,0.1130497720538015,-0.1056224428398112,1,8,1.0,0.0,0,0.0,-1.0,0.06459986974502938,-0.2101886612512242,0.06459986974502938,0.0,-0.06459986974502938,1.2919973949005874,-1.2919973949005874
181,LAA-BOS-20240413-1,2024-04-13,BOS,LAA,1,1.9803921568627452,1.9174311926605505,0.4503701986687252,0.5496298013312748,-0.1080903908717405,0.0538773254884077,7,2,0.0,1.0,0,0.0,-1.0,-0.11025219868917507,0.05872628478236443,0.05872628478236443,0.0,-0.05872628478236443,1.1745256956472885,-1.1745256956472885
298,ATL-MIA-20240413-1,2024-04-13,MIA,ATL,1,2.85,1.4651162790697674,0.4006322327692196,0.5993677672307803,0.141801863392276,-0.1218565270804846,5,1,1.0,0.0,1,2.85,1.85,0.07664965588771673,-0.261991533223042,0.07664965588771673,0.21845151927999268,0.14180186339227596,1.5329931177543346,2.8360372678455192
190,KC-NYM-20240413-1,2024-04-13,NYM,KC,1,1.6369426751592355,2.42,0.5799494796297349,0.4200505203702651,-0.0506559473576952,0.0165222592960415,7,11,0.0,1.0,1,2.42,1.42,-0.07952983735158146,0.011635393870451805,0.011635393870451805,0.02815765316649337,0.016522259296041564,0.2327078774090361,0.3304451859208313
263,CHC-SEA-20240413-1,2024-04-13,SEA,CHC,1,2.24,1.7352941176470589,0.4521734380161944,0.5478265619838056,0.0128685011562755,-0.0493597894986901,1,4,1.0,0.0,0,0.0,-1.0,0.010377823513125465,-0.06712931371821873,0.010377823513125465,0.0,-0.010377823513125465,0.20755647026250928,-0.20755647026250928
109,NYY-CLE-20240413-2,2024-04-13,CLE,NYY,2,2.1399999999999997,1.7751937984496124,0.4838544884203745,0.5161455115796255,0.0402871501038051,-0.0837416887462461,2,8,1.0,0.0,0,0.0,-1.0,0.031095267736492332,-0.10802677848265754,0.031095267736492332,0.0,-0.031095267736492332,0.6219053547298466,-0.6219053547298466
71,PIT-PHI-20240413-1,2024-04-13,PHI,PIT,1,1.625,2.44,0.5566641192535767,0.4433358807464232,-0.0954208062129378,0.0817395490212727,4,3,0.0,1.0,0,0.0,-1.0,-0.1526732899407004,0.05676357570921713,0.05676357570921713,0.0,-0.05676357570921713,1.1352715141843426,-1.1352715141843426
189,KC-NYM-20240414-1,2024-04-14,NYM,KC,1,1.970873786407767,1.9433962264150944,0.5392823751237864,0.4607176248762136,0.0578231204351196,-0.1046431063726415,2,1,1.0,0.0,1,1.970873786407767,0.970873786407767,0.06474322150128645,-0.11092169275500001,0.06474322150128645,0.12760071810447718,0.06285749660319073,1.2948644300257288,1.2571499320638146
252,CIN-CHW-20240414-1,2024-04-14,CHW,CIN,1,2.38,1.6666666666666665,0.4738429701892488,0.5261570298107512,0.1277462690504121,-0.1230716169820815,4,11,1.0,0.0,0,0.0,-1.0,0.09256976018145804,-0.18460742547312214,0.09256976018145804,0.0,-0.09256976018145804,1.8513952036291608,-1.8513952036291608
297,ATL-MIA-20240414-1,2024-04-14,MIA,ATL,1,2.27,1.7142857142857144,0.4910309585463024,0.5089690414536976,0.1146402759001065,-0.1300600071607012,7,9,1.0,0.0,0,0.0,-1.0,0.09026793377961141,-0.17847430051112567,0.09026793377961141,0.0,-0.09026793377961141,1.8053586755922282,-1.8053586755922282
108,NYY-CLE-20240414-1,2024-04-14,CLE,NYY,1,2.12,1.8130081300813008,0.4797824223231909,0.5202175776768091,0.0171387353251647,-0.0568413022607445,8,7,1.0,0.0,1,2.12,1.12,0.015302442254611378,-0.06991480178071575,0.015302442254611378,0.032441177579776125,0.017138735325164745,0.3060488450922276,0.3427747065032949
180,LAA-BOS-20240414-1,2024-04-14,BOS,LAA,1,1.7692307692307692,2.19,0.481495559384915,0.5185044406150849,-0.1481232410882272,0.1355247249470359,5,4,0.0,1.0,0,0.0,-1.0,-0.19256021341469548,0.1138863234849042,0.1138863234849042,0.0,-0.1138863234849042,2.277726469698084,-2.277726469698084
52,STL-ARI-20240414-1,2024-04-14,ARI,STL,1,1.72992700729927,2.25,0.6080476636495995,0.3919523363504005,0.0486619126710484,-0.1181072432115988,5,0,1.0,0.0,1,1.72992700729927,0.7299270072992701,0.07107296284955084,-0.09448579456927911,0.07107296284955084,0.12295103792221568,0.05187807507266484,1.4214592569910167,1.0375615014532968
238,CLE-BOS-20240415-1,2024-04-15,BOS,CLE,1,1.6493506493506493,2.3899999999999997,0.5282959484486516,0.4717040515513484,-0.1286547343768994,0.1273726832077227,0,6,0.0,1.0,1,2.3899999999999997,1.3899999999999997,-0.19812829094042497,0.09163502389044789,0.09163502389044789,0.21900770709817044,0.12737268320772255,1.8327004778089577,2.547453664154451
197,KC-CHW-20240415-1,2024-04-15,CHW,KC,1,2.48,1.6134969325153374,0.4440822467092007,0.5559177532907993,0.1013239718388178,-0.1051080068977377,0,2,1.0,0.0,0,0.0,-1.0,0.06846214313433635,-0.1679363088451979,0.06846214313433635,0.0,-0.06846214313433635,1.369242862686727,-1.369242862686727
247,CIN-SEA-20240415-1,2024-04-15,SEA,CIN,1,1.6944444444444444,2.31,0.5527446509951609,0.4472553490048391,-0.0634048969248662,0.0331598562011783,9,3,0.0,1.0,0,0.0,-1.0,-0.09130305157180744,0.02531286732914377,0.02531286732914377,0.0,-0.02531286732914377,0.5062573465828754,-0.5062573465828754
98,NYY-TOR-20240415-1,2024-04-15,TOR,NYY,1,1.9090909090909092,2.0,0.5381009765819581,0.4618990234180419,0.0228766311602988,-0.0715829629297358,3,1,1.0,0.0,1,1.9090909090909092,0.9090909090909092,0.03001205082211205,-0.0762019531639162,0.03001205082211205,0.05729573338766846,0.02728368256555641,0.6002410164422409,0.5456736513111282
272,CHC-ARI-20240415-1,2024-04-15,ARI,CHC,1,1.6711409395973154,2.34,0.6592120647318868,0.3407879352681132,0.1016362692499315,-0.2025562314726151,2,3,1.0,0.0,0,0.0,-1.0,0.15143804118239806,-0.15116136677060835,0.15143804118239806,0.0,-0.15143804118239806,3.028760823647961,-3.028760823647961
